Sentence,Label
"his> is athe> antdies> outhis> winter,know> whycold> andshivering> tableaso?",0
"> cries> Eveningdeserves> by> referswhere> the> has> hike> Act,""",0
"> failing to> defamation> recipients> finishing> since> grasshopperClintonthat> ahouse,> now><FONT COLOR=""#000099"">GET A NEXTCARD VISA, in 30 seconds!",0
 ,1
Get ratesof 2.9% Intro or 9.9% Ongoing APR* and,0
no annual fee!Apply,0
NOW!</FONT><A,0
"HREF=""http://click.egroups.com/1/9146/8/_/9872/_/968674577/""><B",0
>Click,0
Here!</B></A,0
>Post message: caninesolutions@egroups.comSubscribe: caninesolutions-subscribe@egroups.comUnsubscribe: caninesolutions-unsubscribe@egroups.comList owner:  caninesolutions-owner@egroups.comURL to this page: http://www.egroups.com/group/caninesolutionsThere are 17 messages in this issue.,0
Topics in this digest:      1. Too good not to pass along..      2.,1
Please Read      ,1
3,1
.,1
Any of ya's ????      ,1
4,1
.,1
Camping invite/GLSAR drill,1
     ,1
5.,1
Dog Bite article      ,1
6.,1
Text file/SEMINAR      ,1
7.,1
Room - uh kinda ...      ,1
8.,1
Old Question of the week     ,1
14,1
.,1
"Fw: Three  Virus warnings!!THE ANT AND THE GRASSHOPPER  CLASSIC  VERSION:  The ant works hard in the withering heat all summer long, building his house  and laying up supplies for the winter.",1
The grasshopper thinks  the ant is a  fool and laughs and dances and plays the summer away.,1
"Come winter, the ant  is warm and well fed.",1
The grasshopper has no food or shelter so he dies out  in the cold.,1
 ,1
"MODERN VERSION:  The ant works hard in the withering  heat all summer long, building his  house and laying up supplies for the winter.  ",1
The grasshopper thinks  he's a fool and laughs and dances and plays the summer away.,1
"Come winter,  the shivering grasshopper calls a press conference and demands to know why  the ant should be allowed to be warm and well fed while  others are cold and  starving.",1
"CBS, NBC and ABC show up to provide pictures of  the shivering  grasshopper next to a video of the ant in his comfortable home  with a table  filled with food.  ""America"" is stunned by the sharp contrast.",1
"How can this be, that in a  country of such wealth, this poor grasshopper is allowed to suffer so?",1
" Kermit the Frog appears on Oprah  with the grasshopper, and everybody cries  when they sing ""It's Not Easy Being  Green.""  ",1
"Bill and Hillary Clinton make a special guest appearance on the CBS Evening  News to tell a concerned Dan Rather that they will do everything they  can for the grasshopper who has been denied the prosperity he deserves by  those who benefited unfairly during the Reagan summers, or as Bill refers to  it as ""Temperatures of the 80's""",1
 ,1
"Jesse Jackson stages a demonstration in  front of the ant's house where the  news stations film the group singing ""We shall overcome.""",1
Jesse then has the  group kneel down to pray to God for  the grasshopper's sake.,1
 ,1
"Al Gore exclaims in an interview with Peter Jennings that the ant has gotten  rich off the back of the grasshopper, and calls  for an immediate tax hike  on the ant to make him pay his ""fair share.""  ",1
"Finally, the EEOC drafts the ""Economic Equity and Anti-Grasshopper Act,""  retroactive to the beginning of the summer.",1
"The ant is  fined for failing to  hire a proportionate number of green bugs and, having  nothing left to  pay his retroactive taxes, his home is confiscated by  the government.",1
" Hillary gets her old law firm to represent the grasshopper in a defamation  suit against the ant, and the case is tried before a  panel of federal  judges that Bill appointed from a list of single-parent welfare recipients  who can only hear cases on Thursday's between 1:30 and 3:00 PM when  there are no talk shows scheduled.  ",1
The ant loses the case.,1
"The story  ends as we see the grasshopper finishing  up the last bits of the ant's food while the government house he is  in,which just happens to be the ant's old  house, crumbles around him since  he doesn't maintain it.",1
 The ant has  disappeared in the snow.,1
"And on the TV, which the grasshopper  bought by selling",1
" most of the ant's food, they are showing Bill Clinton  standing before a wildly  applauding group of Democrats announcing that a  new era of ""fairness"" has dawned  in America.",1
" The grasshopper is found dead in a drug-related incident and  the house, now  abandoned, is taken over by a gang of spiders who terrorize",1
the  ,1
once  peaceful neighborhood,1
.,1
Sister Margaret died and through some error found herself in hell.,1
"She  immediately called Saint Peter and said, ""This is Sister Margaret.",1
"There's  been a terrible mistake!""",1
 ,1
She explained the situation and Saint Peter said he'd get right on it.,1
Thenext day the nun didn't hear from Saint Peter and called him back.,1
" ""Please set this error straight before tomorrow,"" she begged.",1
"""There's anorgy planned for tonight, and everyone must attend!""",1
" ""Of course, Sister, ""he said.",1
"""I'll get you out of there right away.""  ",1
"Apparently, her plight slipped his mind, and the following morning he  received another phone call from hell.",1
"He picked up the receiver and  heard, ""Hey, Pete, this is Maggie.",1
"Never mind!""This is an oldie, but one that I feel needs to be brought to light again.",1
"No matter how you may want to spell TEAM.. there is no ""I"" in it.",1
"MelLessons of the GeeseThis Fall, when you see geese heading south for the winter flying along in ""V"" formation, you might consider what science has discovered as to why they fly that way.",1
"FACT: As each bird flaps its wings, it creates an ""uplift"" for the bird immediately following.",1
"By flying in a ""V"" formation, the whole flock has at least 71% greater flying range than if each bird flew on it's own.",1
LESSON:,1
People who share a common direction and sense of community can get where they are going more quickly and easily because they are traveling on the thrust of one another.,1
FACT:,1
"When a goose flies out of formation, it suddenly feels the drag and resistance of trying to go it alone.",1
It quickly gets back into formation to take advantage of the lifting power of the bird in front of it.,1
LESSON:,1
"If we have as much common sense as a goose, we stay in formation with those headed where we want to go.",1
We are willing to accept their help and give our help to others.,1
It is harder to do something alone than together.,1
"FACT: When the lead goose gets tired, it rotates back into the formation, and another goose flies to the point position.",1
LESSON:,1
It is sensible to take turns doing the hard and demanding tasks and sharing leadership.,1
"As with geese, people are interdependent of each others skills, capabilities, and unique arrangements of gifts, talents, or resources.",1
FACT: The geese flying in formation honk from behind to encourage those up front to keep up their speed.,1
LESSON:,1
We need to make sure our honking is encouraging.,1
"In groups where there is encouragement, the production is much greater.",1
The power of encouragement (to stand by one's heart or core values and encourage the heart and core of others) is the quality of honking we seek.,1
We need to make sure our honking is encouraging and not discouraging.,1
"FACT: When a goose gets sick, wounded, or shot down, two other geese will drop out of formation with that goose and follow it down to lend help and protection.",1
They stay with the fallen goose until it dies or is able to fly again.,1
"Then, they launch out on their own, or with another formation to catch up with their flock.",1
LESSON:,1
"If we have the sense of a goose, we will stand by our colleagues and each other in difficult times as well as in good!~",1
Written by Angeles Arrien,1
~Hey guys just heard Mark E. won't be able to attend - any other SARmanagers out there - - Kathleen on Peter's team ?Dawn on GLSAR team ?Dave Holcomb ?,1
"Looks good on the resume guys - - will be work but educational too - -Just a lil' invite  - - GLSAR is having an overnight wilderness/workdrill the last weekend of the month on my property -  120 acressurrounded by 4000 acres federal land just north of Cadillac and east ofMi-Wa-Taka Mich. - - rolling hills , serious color time , tough terrainetc.",1
"Camping is planned for Friday and Sat. nights - work all day Sat. , sun.break camp.",1
You'll need water / food/warm clothes / tents .,1
"We have two tracks ,maps , though you'll need to get with a GLSAR member that's been thereto ever find it , and wildlife",1
".Kids , wifes, dogs, family are all  ",1
invited .,1
The color is breath taking.,1
Any interested are welcome to join the GLSAR team for this.,1
SandeNo suprise really.. but wanted to share...,1
MelDog bites threaten home insuranceHomeowner coverage may be cancelled if your pooch is considered,1
too aggressiveCharles V. Tines / The Detroit NewsMetLife no longer writes coverage for people who own a pit bull or four other dogs with attitudes.,0
By Charlie Cain / News Lansing Bureau Chief    ,0
A sizable increase in the number -- and severity -- of dog bites in Metro Detroit is increasingly forcing insurance companies to cancel homeowner policies at homes where the family pooch has displayed a bad attitude.,1
"   At least one national insurance company, MetLife Auto & Home, no longer writes homeowner coverage for people who own any of five different breeds of large, often aggressive, dogs: pit bulls, rottweilers, chow chows, German shepherds and bull terriers.",1
"   ""Our overall position is that if you have one of those breeds in your household, we will not insure you because we don't believe there's a way to match the risk with the rate,"" said Richard Bernstein, a MetLife vice-president.",1
"   ""Dog bites tend to be difficult cases, emotionally traumatic and costly.""    ",1
"The Insurance Information Institute in New York said insurers now shoulder a quarter of the record $1 billion cost associated with dog bites -- from medical treatment to ""pain and suffering"" damage awards.",1
   A third of all homeowner claims result from dog bites; about 70 percent of insurance carriers won't renew coverage to a policyholder whose dog has bitten someone.,1
"   ""We're seeing a surge of dog bite claims with pit bulls and rottweilers,"" said Mike Erwin, a spokesman for the institute, which represents about 350 companies nationwide.",1
"   ""Those are not just a nip, but a tearing of the skin that requires a lot more medical treatment and as a result, the costs go up.""    ",1
"Dogs were particularly aggressive in Detroit last year; the city reported 1,574 dog bites -- up 38 percent from 1996.",1
"   Macomb County reported 1,020 dog bites last year, up 9.5 percent from a year earlier.",1
"   The Oakland County Animal Shelter, which covers much of the county, said the number of bites there remained constant at about 800.    ",1
"Nationally, the Center for Disease Control and Prevention said 4.7 million dog bites were reported in 1997.",1
"   Justin Harbert, a 4-year-old Warren boy, joined the growing list of victims last week when a neighbor's chow chow lunged at his throat.",1
